Stream analysis report
Run: demonstration_final_20260623_h04_dino_bbox
Status: completed
Frames: 20
Candidates: 169
Recurring visual types: 10
Frame comparisons: 19
Change events: 147
  appeared: 8
  count_changed: 5
  disappeared: 2
  persisted: 129
  position_changed: 3
Event facts:
  frame_001 -> frame_002: type=type_001, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_001 -> frame_002: type=type_002, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_001 -> frame_002: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_001 -> frame_002: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_001 -> frame_002: type=type_005, kind=appeared, status=certain, counts=0->1, position_shift_norm=unknown
  frame_002 -> frame_003: type=type_001, kind=count_changed, status=uncertain, counts=1->2, position_shift_norm=unknown
  frame_002 -> frame_003: type=type_001, kind=persisted, status=uncertain, counts=1->2, position_shift_norm=unknown
  frame_002 -> frame_003: type=type_002, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_002 -> frame_003: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_002 -> frame_003: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_002 -> frame_003: type=type_005, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_003 -> frame_004: type=type_001, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_003 -> frame_004: type=type_002, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_003 -> frame_004: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_003 -> frame_004: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_003 -> frame_004: type=type_004, kind=position_changed, status=certain, counts=1->1, position_shift_norm=0.1171875
  frame_003 -> frame_004: type=type_005, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_004 -> frame_005: type=type_001, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_004 -> frame_005: type=type_002, kind=disappeared, status=certain, counts=1->0, position_shift_norm=unknown
  frame_004 -> frame_005: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_004 -> frame_005: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_004 -> frame_005: type=type_005, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_005 -> frame_006: type=type_001, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_005 -> frame_006: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_005 -> frame_006: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_005 -> frame_006: type=type_005, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_005 -> frame_006: type=type_006, kind=appeared, status=certain, counts=0->1, position_shift_norm=unknown
  frame_006 -> frame_007: type=type_001, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_006 -> frame_007: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_006 -> frame_007: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_006 -> frame_007: type=type_005, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_006 -> frame_007: type=type_006, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_007 -> frame_008: type=type_001, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_007 -> frame_008: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_007 -> frame_008: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_007 -> frame_008: type=type_005, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_007 -> frame_008: type=type_006, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_007 -> frame_008: type=type_007, kind=appeared, status=certain, counts=0->1, position_shift_norm=unknown
  frame_008 -> frame_009: type=type_001, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_008 -> frame_009: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_008 -> frame_009: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_008 -> frame_009: type=type_005, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_008 -> frame_009: type=type_006, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_008 -> frame_009: type=type_007, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_009 -> frame_010: type=type_001, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_009 -> frame_010: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_009 -> frame_010: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_009 -> frame_010: type=type_005, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_009 -> frame_010: type=type_006, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_009 -> frame_010: type=type_007, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_009 -> frame_010: type=type_008, kind=appeared, status=certain, counts=0->1, position_shift_norm=unknown
  frame_010 -> frame_011: type=type_001, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_010 -> frame_011: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_010 -> frame_011: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_010 -> frame_011: type=type_005, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_010 -> frame_011: type=type_006, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_010 -> frame_011: type=type_007, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_010 -> frame_011: type=type_008, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_011 -> frame_012: type=type_001, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_011 -> frame_012: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_011 -> frame_012: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_011 -> frame_012: type=type_005, kind=count_changed, status=uncertain, counts=1->2, position_shift_norm=unknown
  frame_011 -> frame_012: type=type_005, kind=persisted, status=uncertain, counts=1->2, position_shift_norm=unknown
  frame_011 -> frame_012: type=type_006, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_011 -> frame_012: type=type_007, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_011 -> frame_012: type=type_008, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_011 -> frame_012: type=type_009, kind=appeared, status=certain, counts=0->1, position_shift_norm=unknown
  frame_012 -> frame_013: type=type_001, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_012 -> frame_013: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_012 -> frame_013: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_012 -> frame_013: type=type_005, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_012 -> frame_013: type=type_006, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_012 -> frame_013: type=type_007, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_012 -> frame_013: type=type_008, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_012 -> frame_013: type=type_009, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_012 -> frame_013: type=type_010, kind=appeared, status=certain, counts=0->1, position_shift_norm=unknown
  frame_013 -> frame_014: type=type_001, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_013 -> frame_014: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_013 -> frame_014: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_013 -> frame_014: type=type_005, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_013 -> frame_014: type=type_006, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_013 -> frame_014: type=type_007, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_013 -> frame_014: type=type_008, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_013 -> frame_014: type=type_009, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_013 -> frame_014: type=type_010, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_013 -> frame_014: type=type_010, kind=position_changed, status=certain, counts=1->1, position_shift_norm=0.1171875
  frame_014 -> frame_015: type=type_001, kind=count_changed, status=uncertain, counts=2->3, position_shift_norm=unknown
  frame_014 -> frame_015: type=type_001, kind=persisted, status=uncertain, counts=2->3, position_shift_norm=unknown
  frame_014 -> frame_015: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_014 -> frame_015: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_014 -> frame_015: type=type_005, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_014 -> frame_015: type=type_006, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_014 -> frame_015: type=type_007, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_014 -> frame_015: type=type_008, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_014 -> frame_015: type=type_009, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_014 -> frame_015: type=type_010, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_015 -> frame_016: type=type_001, kind=persisted, status=uncertain, counts=3->3, position_shift_norm=unknown
  frame_015 -> frame_016: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_015 -> frame_016: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_015 -> frame_016: type=type_005, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_015 -> frame_016: type=type_006, kind=disappeared, status=certain, counts=1->0, position_shift_norm=unknown
  frame_015 -> frame_016: type=type_007, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_015 -> frame_016: type=type_008, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_015 -> frame_016: type=type_009, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_015 -> frame_016: type=type_010, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_016 -> frame_017: type=type_001, kind=persisted, status=uncertain, counts=3->3, position_shift_norm=unknown
  frame_016 -> frame_017: type=type_002, kind=appeared, status=certain, counts=0->1, position_shift_norm=unknown
  frame_016 -> frame_017: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_016 -> frame_017: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_016 -> frame_017: type=type_005, kind=persisted, status=uncertain, counts=2->2, position_shift_norm=unknown
  frame_016 -> frame_017: type=type_007, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_016 -> frame_017: type=type_008, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_016 -> frame_017: type=type_009, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_016 -> frame_017: type=type_010, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_017 -> frame_018: type=type_001, kind=persisted, status=uncertain, counts=3->3, position_shift_norm=unknown
  frame_017 -> frame_018: type=type_002, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_017 -> frame_018: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_017 -> frame_018: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_017 -> frame_018: type=type_005, kind=count_changed, status=uncertain, counts=2->1, position_shift_norm=unknown
  frame_017 -> frame_018: type=type_005, kind=persisted, status=uncertain, counts=2->1, position_shift_norm=unknown
  frame_017 -> frame_018: type=type_006, kind=appeared, status=certain, counts=0->1, position_shift_norm=unknown
  frame_017 -> frame_018: type=type_007, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_017 -> frame_018: type=type_008, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_017 -> frame_018: type=type_009, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_017 -> frame_018: type=type_010, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_018 -> frame_019: type=type_001, kind=persisted, status=uncertain, counts=3->3, position_shift_norm=unknown
  frame_018 -> frame_019: type=type_002, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_018 -> frame_019: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_018 -> frame_019: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_018 -> frame_019: type=type_005, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_018 -> frame_019: type=type_006, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_018 -> frame_019: type=type_007, kind=persisted, status=uncertain, counts=1->1, position_shift_norm=unknown
  frame_018 -> frame_019: type=type_008, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_018 -> frame_019: type=type_009, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_018 -> frame_019: type=type_010, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_019 -> frame_020: type=type_001, kind=count_changed, status=uncertain, counts=3->1, position_shift_norm=unknown
  frame_019 -> frame_020: type=type_001, kind=persisted, status=uncertain, counts=3->1, position_shift_norm=unknown
  frame_019 -> frame_020: type=type_002, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_019 -> frame_020: type=type_003, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_019 -> frame_020: type=type_004, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_019 -> frame_020: type=type_005, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_019 -> frame_020: type=type_006, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_019 -> frame_020: type=type_007, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_019 -> frame_020: type=type_008, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_019 -> frame_020: type=type_009, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
  frame_019 -> frame_020: type=type_009, kind=position_changed, status=certain, counts=1->1, position_shift_norm=0.15625000000000006
  frame_019 -> frame_020: type=type_010, kind=persisted, status=certain, counts=1->1, position_shift_norm=unknown
Warnings: 0
Errors: 0
Withheld comparisons: 0
This report describes predicted structured facts only; it contains no ground truth or evaluation metrics.
